Year,Units,Регионы,Пол,Местность,Возраст,GeoCode,Value
2012,процент,Мангистауская,,,15,,0.0
2013,процент,Мангистауская,,,15,,0.0
2014,процент,Мангистауская,,,15,,0.0
2015,процент,Мангистауская,,,15,,0.0
2016,процент,Мангистауская,,,15,,0.0
2017,процент,Мангистауская,,,15,,0.0
2018,процент,Мангистауская,,,15,,0.0
2012,процент,Мангистауская,,,16-24,,1.8
2013,процент,Мангистауская,,,16-24,,8.6
2014,процент,Мангистауская,,,16-24,,10.8
2015,процент,Мангистауская,,,16-24,,9.4
2016,процент,Мангистауская,,,16-24,,1.4
2017,процент,Мангистауская,,,16-24,,4.6
2018,процент,Мангистауская,,,16-24,,4.2
2012,процент,Мангистауская,,,25-28,,2.1
2013,процент,Мангистауская,,,25-28,,5.8
2014,процент,Мангистауская,,,25-28,,5.6
2015,процент,Мангистауская,,,25-28,,4.8
2016,процент,Мангистауская,,,25-28,,2.4
2017,процент,Мангистауская,,,25-28,,2.4
2018,процент,Мангистауская,,,25-28,,3.0
2012,процент,Мангистауская,,,29-34,,1.4
2013,процент,Мангистауская,,,29-34,,7.5
2014,процент,Мангистауская,,,29-34,,5.7
2015,процент,Мангистауская,,,29-34,,3.8
2016,процент,Мангистауская,,,29-34,,2.1
2017,процент,Мангистауская,,,29-34,,2.3
2018,процент,Мангистауская,,,29-34,,2.9
2012,процент,Мангистауская,,,35-44,,3.2
2013,процент,Мангистауская,,,35-44,,4.3
2014,процент,Мангистауская,,,35-44,,7.3
2015,процент,Мангистауская,,,35-44,,5.9
2016,процент,Мангистауская,,,35-44,,3.0
2017,процент,Мангистауская,,,35-44,,1.8
2018,процент,Мангистауская,,,35-44,,2.9
2012,процент,Мангистауская,,,45-54,,3.6
2013,процент,Мангистауская,,,45-54,,4.5
2014,процент,Мангистауская,,,45-54,,6.7
2015,процент,Мангистауская,,,45-54,,4.5
2016,процент,Мангистауская,,,45-54,,2.1
2017,процент,Мангистауская,,,45-54,,2.2
2018,процент,Мангистауская,,,45-54,,2.1
2012,процент,Мангистауская,,,55-64,,2.3
2013,процент,Мангистауская,,,55-64,,2.5
2014,процент,Мангистауская,,,55-64,,4.0
2015,процент,Мангистауская,,,55-64,,2.4
2016,процент,Мангистауская,,,55-64,,3.5
2017,процент,Мангистауская,,,55-64,,1.7
2018,процент,Мангистауская,,,55-64,,1.8
2012,процент,Мангистауская,,,65 и старше,,0.0
2013,процент,Мангистауская,,,65 и старше,,0.0
2014,процент,Мангистауская,,,65 и старше,,0.0
2015,процент,Мангистауская,,,65 и старше,,7.7
2016,процент,Мангистауская,,,65 и старше,,0.0
2017,процент,Мангистауская,,,65 и старше,,0.0
2018,процент,Мангистауская,,,65 и старше,,0.0
2012,процент,Южно-Казахстанская,,,15,,0.0
2013,процент,Южно-Казахстанская,,,15,,0.0
2014,процент,Южно-Казахстанская,,,15,,100.0
2015,процент,Южно-Казахстанская,,,15,,0.0
2016,процент,Южно-Казахстанская,,,15,,0.0
2017,процент,Южно-Казахстанская,,,15,,0.0
2012,процент,Южно-Казахстанская,,,16-24,,24.9
2013,процент,Южно-Казахстанская,,,16-24,,19.8
2014,процент,Южно-Казахстанская,,,16-24,,19.2
2015,процент,Южно-Казахстанская,,,16-24,,10.6
2016,процент,Южно-Казахстанская,,,16-24,,12.6
2017,процент,Южно-Казахстанская,,,16-24,,4.7
2012,процент,Южно-Казахстанская,,,25-28,,17.8
2013,процент,Южно-Казахстанская,,,25-28,,16.5
2014,процент,Южно-Казахстанская,,,25-28,,17.2
2015,процент,Южно-Казахстанская,,,25-28,,9.7
2016,процент,Южно-Казахстанская,,,25-28,,8.0
2017,процент,Южно-Казахстанская,,,25-28,,5.3
2012,процент,Южно-Казахстанская,,,29-34,,19.3
2013,процент,Южно-Казахстанская,,,29-34,,14.3
2014,процент,Южно-Казахстанская,,,29-34,,16.9
2015,процент,Южно-Казахстанская,,,29-34,,7.7
2016,процент,Южно-Казахстанская,,,29-34,,6.4
2017,процент,Южно-Казахстанская,,,29-34,,4.7
2012,процент,Южно-Казахстанская,,,35-44,,19.6
2013,процент,Южно-Казахстанская,,,35-44,,18.2
2014,процент,Южно-Казахстанская,,,35-44,,16.5
2015,процент,Южно-Казахстанская,,,35-44,,10.3
2016,процент,Южно-Казахстанская,,,35-44,,8.8
2017,процент,Южно-Казахстанская,,,35-44,,5.0
2012,процент,Южно-Казахстанская,,,45-54,,18.2
2013,процент,Южно-Казахстанская,,,45-54,,14.1
2014,процент,Южно-Казахстанская,,,45-54,,16.7
2015,процент,Южно-Казахстанская,,,45-54,,10.3
2016,процент,Южно-Казахстанская,,,45-54,,6.8
2017,процент,Южно-Казахстанская,,,45-54,,3.9
2012,процент,Южно-Казахстанская,,,55-64,,18.0
2013,процент,Южно-Казахстанская,,,55-64,,12.3
2014,процент,Южно-Казахстанская,,,55-64,,16.5
2015,процент,Южно-Казахстанская,,,55-64,,15.4
2016,процент,Южно-Казахстанская,,,55-64,,8.1
2017,процент,Южно-Казахстанская,,,55-64,,5.7
2012,процент,Южно-Казахстанская,,,65 и старше,,48.8
2013,процент,Южно-Казахстанская,,,65 и старше,,0.0
2014,процент,Южно-Казахстанская,,,65 и старше,,0.0
2015,процент,Южно-Казахстанская,,,65 и старше,,0.0
2016,процент,Южно-Казахстанская,,,65 и старше,,73.8
2017,процент,Южно-Казахстанская,,,65 и старше,,0.0
2012,процент,Павлодарская,,,15,,0.0
2013,процент,Павлодарская,,,15,,0.0
2014,процент,Павлодарская,,,15,,0.0
2015,процент,Павлодарская,,,15,,0.0
2016,процент,Павлодарская,,,15,,0.0
2017,процент,Павлодарская,,,15,,0.0
2018,процент,Павлодарская,,,15,,0.0
2012,процент,Павлодарская,,,16-24,,17.2
2013,процент,Павлодарская,,,16-24,,14.5
2014,процент,Павлодарская,,,16-24,,19.6
2015,процент,Павлодарская,,,16-24,,13.7
2016,процент,Павлодарская,,,16-24,,22.2
2017,процент,Павлодарская,,,16-24,,10.6
2018,процент,Павлодарская,,,16-24,,3.4
2012,процент,Павлодарская,,,25-28,,12.3
2013,процент,Павлодарская,,,25-28,,16.3
2014,процент,Павлодарская,,,25-28,,14.7
2015,процент,Павлодарская,,,25-28,,7.8
2016,процент,Павлодарская,,,25-28,,13.2
2017,процент,Павлодарская,,,25-28,,10.2
2018,процент,Павлодарская,,,25-28,,2.8
2012,процент,Павлодарская,,,29-34,,21.2
2013,процент,Павлодарская,,,29-34,,18.5
2014,процент,Павлодарская,,,29-34,,15.1
2015,процент,Павлодарская,,,29-34,,13.0
2016,процент,Павлодарская,,,29-34,,12.4
2017,процент,Павлодарская,,,29-34,,7.6
2018,процент,Павлодарская,,,29-34,,2.2
2012,процент,Павлодарская,,,35-44,,13.6
2013,процент,Павлодарская,,,35-44,,13.6
2014,процент,Павлодарская,,,35-44,,15.4
2015,процент,Павлодарская,,,35-44,,8.1
2016,процент,Павлодарская,,,35-44,,11.1
2017,процент,Павлодарская,,,35-44,,9.6
2018,процент,Павлодарская,,,35-44,,4.3
2012,процент,Павлодарская,,,45-54,,13.0
2013,процент,Павлодарская,,,45-54,,14.3
2014,процент,Павлодарская,,,45-54,,14.3
2015,процент,Павлодарская,,,45-54,,12.5
2016,процент,Павлодарская,,,45-54,,12.2
2017,процент,Павлодарская,,,45-54,,8.6
2018,процент,Павлодарская,,,45-54,,2.8
2012,процент,Павлодарская,,,55-64,,12.4
2013,процент,Павлодарская,,,55-64,,9.8
2014,процент,Павлодарская,,,55-64,,15.6
2015,процент,Павлодарская,,,55-64,,8.1
2016,процент,Павлодарская,,,55-64,,14.6
2017,процент,Павлодарская,,,55-64,,12.2
2018,процент,Павлодарская,,,55-64,,3.8
2012,процент,Павлодарская,,,65 и старше,,36.4
2013,процент,Павлодарская,,,65 и старше,,65.8
2014,процент,Павлодарская,,,65 и старше,,8.1
2015,процент,Павлодарская,,,65 и старше,,2.3
2016,процент,Павлодарская,,,65 и старше,,13.2
2017,процент,Павлодарская,,,65 и старше,,0.0
2018,процент,Павлодарская,,,65 и старше,,0.0
2012,процент,Северо-Казахстанская,,,15,,0.0
2013,процент,Северо-Казахстанская,,,15,,0.0
2014,процент,Северо-Казахстанская,,,15,,0.0
2015,процент,Северо-Казахстанская,,,15,,0.0
2016,процент,Северо-Казахстанская,,,15,,0.0
2017,процент,Северо-Казахстанская,,,15,,0.0
2018,процент,Северо-Казахстанская,,,15,,0.0
2012,процент,Северо-Казахстанская,,,16-24,,18.0
2013,процент,Северо-Казахстанская,,,16-24,,24.7
2014,процент,Северо-Казахстанская,,,16-24,,23.5
2015,процент,Северо-Казахстанская,,,16-24,,26.6
2016,процент,Северо-Казахстанская,,,16-24,,13.0
2017,процент,Северо-Казахстанская,,,16-24,,14.1
2018,процент,Северо-Казахстанская,,,16-24,,9.9
2012,процент,Северо-Казахстанская,,,25-28,,12.8
2013,процент,Северо-Казахстанская,,,25-28,,18.7
2014,процент,Северо-Казахстанская,,,25-28,,18.9
2015,процент,Северо-Казахстанская,,,25-28,,15.0
2016,процент,Северо-Казахстанская,,,25-28,,12.6
2017,процент,Северо-Казахстанская,,,25-28,,5.0
2018,процент,Северо-Казахстанская,,,25-28,,8.3
2012,процент,Северо-Казахстанская,,,29-34,,18.5
2013,процент,Северо-Казахстанская,,,29-34,,20.1
2014,процент,Северо-Казахстанская,,,29-34,,20.9
2015,процент,Северо-Казахстанская,,,29-34,,16.6
2016,процент,Северо-Казахстанская,,,29-34,,10.0
2017,процент,Северо-Казахстанская,,,29-34,,4.9
2018,процент,Северо-Казахстанская,,,29-34,,7.0
2012,процент,Северо-Казахстанская,,,35-44,,12.3
2013,процент,Северо-Казахстанская,,,35-44,,10.0
2014,процент,Северо-Казахстанская,,,35-44,,16.2
2015,процент,Северо-Казахстанская,,,35-44,,13.4
2016,процент,Северо-Казахстанская,,,35-44,,8.3
2017,процент,Северо-Казахстанская,,,35-44,,6.4
2018,процент,Северо-Казахстанская,,,35-44,,7.5
2012,процент,Северо-Казахстанская,,,45-54,,11.5
2013,процент,Северо-Казахстанская,,,45-54,,9.2
2014,процент,Северо-Казахстанская,,,45-54,,14.5
2015,процент,Северо-Казахстанская,,,45-54,,11.5
2016,процент,Северо-Казахстанская,,,45-54,,9.9
2017,процент,Северо-Казахстанская,,,45-54,,6.0
2018,процент,Северо-Казахстанская,,,45-54,,5.1
2012,процент,Северо-Казахстанская,,,55-64,,13.2
2013,процент,Северо-Казахстанская,,,55-64,,13.4
2014,процент,Северо-Казахстанская,,,55-64,,15.7
2015,процент,Северо-Казахстанская,,,55-64,,8.9
2016,процент,Северо-Казахстанская,,,55-64,,9.1
2017,процент,Северо-Казахстанская,,,55-64,,5.4
2018,процент,Северо-Казахстанская,,,55-64,,6.0
2012,процент,Северо-Казахстанская,,,65 и старше,,0.0
2013,процент,Северо-Казахстанская,,,65 и старше,,0.0
2014,процент,Северо-Казахстанская,,,65 и старше,,0.0
2015,процент,Северо-Казахстанская,,,65 и старше,,0.0
2016,процент,Северо-Казахстанская,,,65 и старше,,0.0
2017,процент,Северо-Казахстанская,,,65 и старше,,0.0
2018,процент,Северо-Казахстанская,,,65 и старше,,46.1
2018,процент,Туркестанская,,,15,,0.0
2018,процент,Туркестанская,,,16-24,,5.6
2018,процент,Туркестанская,,,25-28,,5.2
2018,процент,Туркестанская,,,29-34,,4.4
2018,процент,Туркестанская,,,35-44,,4.3
2018,процент,Туркестанская,,,45-54,,6.0
2018,процент,Туркестанская,,,55-64,,3.2
2018,процент,Туркестанская,,,65 и старше,,0.0
2012,процент,Восточно-Казахстанская,,,15,,0.0
2013,процент,Восточно-Казахстанская,,,15,,0.0
2014,процент,Восточно-Казахстанская,,,15,,0.0
2015,процент,Восточно-Казахстанская,,,15,,0.0
2016,процент,Восточно-Казахстанская,,,15,,0.0
2017,процент,Восточно-Казахстанская,,,15,,0.0
2018,процент,Восточно-Казахстанская,,,15,,0.0
2012,процент,Восточно-Казахстанская,,,16-24,,19.0
2013,процент,Восточно-Казахстанская,,,16-24,,19.7
2014,процент,Восточно-Казахстанская,,,16-24,,27.6
2015,процент,Восточно-Казахстанская,,,16-24,,17.9
2016,процент,Восточно-Казахстанская,,,16-24,,11.8
2017,процент,Восточно-Казахстанская,,,16-24,,7.4
2018,процент,Восточно-Казахстанская,,,16-24,,4.5
2012,процент,Восточно-Казахстанская,,,25-28,,15.8
2013,процент,Восточно-Казахстанская,,,25-28,,12.5
2014,процент,Восточно-Казахстанская,,,25-28,,18.7
2015,процент,Восточно-Казахстанская,,,25-28,,17.3
2016,процент,Восточно-Казахстанская,,,25-28,,8.2
2017,процент,Восточно-Казахстанская,,,25-28,,5.4
2018,процент,Восточно-Казахстанская,,,25-28,,3.8
2012,процент,Восточно-Казахстанская,,,29-34,,14.6
2013,процент,Восточно-Казахстанская,,,29-34,,12.6
2014,процент,Восточно-Казахстанская,,,29-34,,16.0
2015,процент,Восточно-Казахстанская,,,29-34,,11.3
2016,процент,Восточно-Казахстанская,,,29-34,,6.3
2017,процент,Восточно-Казахстанская,,,29-34,,7.6
2018,процент,Восточно-Казахстанская,,,29-34,,3.3
2012,процент,Восточно-Казахстанская,,,35-44,,16.9
2013,процент,Восточно-Казахстанская,,,35-44,,16.7
2014,процент,Восточно-Казахстанская,,,35-44,,16.0
2015,процент,Восточно-Казахстанская,,,35-44,,13.4
2016,процент,Восточно-Казахстанская,,,35-44,,8.5
2017,процент,Восточно-Казахстанская,,,35-44,,5.9
2018,процент,Восточно-Казахстанская,,,35-44,,3.9
2012,процент,Восточно-Казахстанская,,,45-54,,15.8
2013,процент,Восточно-Казахстанская,,,45-54,,12.8
2014,процент,Восточно-Казахстанская,,,45-54,,17.1
2015,процент,Восточно-Казахстанская,,,45-54,,15.3
2016,процент,Восточно-Казахстанская,,,45-54,,11.7
2017,процент,Восточно-Казахстанская,,,45-54,,6.4
2018,процент,Восточно-Казахстанская,,,45-54,,4.2
2012,процент,Восточно-Казахстанская,,,55-64,,14.6
2013,процент,Восточно-Казахстанская,,,55-64,,9.2
2014,процент,Восточно-Казахстанская,,,55-64,,23.3
2015,процент,Восточно-Казахстанская,,,55-64,,10.8
2016,процент,Восточно-Казахстанская,,,55-64,,7.9
2017,процент,Восточно-Казахстанская,,,55-64,,6.4
2018,процент,Восточно-Казахстанская,,,55-64,,3.4
2012,процент,Восточно-Казахстанская,,,65 и старше,,0.0
2013,процент,Восточно-Казахстанская,,,65 и старше,,0.0
2014,процент,Восточно-Казахстанская,,,65 и старше,,57.2
2015,процент,Восточно-Казахстанская,,,65 и старше,,3.8
2016,процент,Восточно-Казахстанская,,,65 и старше,,4.2
2017,процент,Восточно-Казахстанская,,,65 и старше,,8.1
2018,процент,Восточно-Казахстанская,,,65 и старше,,3.7
2012,процент,г_Нур-Султан,,,15,,0.0
2013,процент,г_Нур-Султан,,,15,,0.0
2014,процент,г_Нур-Султан,,,15,,0.0
2015,процент,г_Нур-Султан,,,15,,0.0
2016,процент,г_Нур-Султан,,,15,,0.0
2017,процент,г_Нур-Султан,,,15,,0.0
2018,процент,г_Нур-Султан,,,15,,0.0
2012,процент,г_Нур-Султан,,,16-24,,24.9
2013,процент,г_Нур-Султан,,,16-24,,2.7
2014,процент,г_Нур-Султан,,,16-24,,37.8
2015,процент,г_Нур-Султан,,,16-24,,41.8
2016,процент,г_Нур-Султан,,,16-24,,18.5
2017,процент,г_Нур-Султан,,,16-24,,21.9
2018,процент,г_Нур-Султан,,,16-24,,15.4
2012,процент,г_Нур-Султан,,,25-28,,13.8
2013,процент,г_Нур-Султан,,,25-28,,6.4
2014,процент,г_Нур-Султан,,,25-28,,23.1
2015,процент,г_Нур-Султан,,,25-28,,28.8
2016,процент,г_Нур-Султан,,,25-28,,18.6
2017,процент,г_Нур-Султан,,,25-28,,22.5
2018,процент,г_Нур-Султан,,,25-28,,16.2
2012,процент,г_Нур-Султан,,,29-34,,11.3
2013,процент,г_Нур-Султан,,,29-34,,6.1
2014,процент,г_Нур-Султан,,,29-34,,20.7
2015,процент,г_Нур-Султан,,,29-34,,23.7
2016,процент,г_Нур-Султан,,,29-34,,18.9
2017,процент,г_Нур-Султан,,,29-34,,30.8
2018,процент,г_Нур-Султан,,,29-34,,22.7
2012,процент,г_Нур-Султан,,,35-44,,12.3
2013,процент,г_Нур-Султан,,,35-44,,4.6
2014,процент,г_Нур-Султан,,,35-44,,22.0
2015,процент,г_Нур-Султан,,,35-44,,25.0
2016,процент,г_Нур-Султан,,,35-44,,16.6
2017,процент,г_Нур-Султан,,,35-44,,30.9
2018,процент,г_Нур-Султан,,,35-44,,13.8
2012,процент,г_Нур-Султан,,,45-54,,9.7
2013,процент,г_Нур-Султан,,,45-54,,4.1
2014,процент,г_Нур-Султан,,,45-54,,21.4
2015,процент,г_Нур-Султан,,,45-54,,24.0
2016,процент,г_Нур-Султан,,,45-54,,14.4
2017,процент,г_Нур-Султан,,,45-54,,14.9
2018,процент,г_Нур-Султан,,,45-54,,14.9
2012,процент,г_Нур-Султан,,,55-64,,5.1
2013,процент,г_Нур-Султан,,,55-64,,2.7
2014,процент,г_Нур-Султан,,,55-64,,12.0
2015,процент,г_Нур-Султан,,,55-64,,18.2
2016,процент,г_Нур-Султан,,,55-64,,18.1
2017,процент,г_Нур-Султан,,,55-64,,9.5
2018,процент,г_Нур-Султан,,,55-64,,13.2
2012,процент,г_Нур-Султан,,,65 и старше,,0.0
2013,процент,г_Нур-Султан,,,65 и старше,,19.6
2014,процент,г_Нур-Султан,,,65 и старше,,35.6
2015,процент,г_Нур-Султан,,,65 и старше,,18.5
2016,процент,г_Нур-Султан,,,65 и старше,,6.0
2017,процент,г_Нур-Султан,,,65 и старше,,7.6
2018,процент,г_Нур-Султан,,,65 и старше,,0.0
2012,процент,г_Алматы,,,15,,0.0
2013,процент,г_Алматы,,,15,,0.0
2014,процент,г_Алматы,,,15,,0.0
2015,процент,г_Алматы,,,15,,0.0
2016,процент,г_Алматы,,,15,,0.0
2017,процент,г_Алматы,,,15,,0.0
2018,процент,г_Алматы,,,15,,0.0
2012,процент,г_Алматы,,,16-24,,13.9
2013,процент,г_Алматы,,,16-24,,13.3
2014,процент,г_Алматы,,,16-24,,16.8
2015,процент,г_Алматы,,,16-24,,12.2
2016,процент,г_Алматы,,,16-24,,19.2
2017,процент,г_Алматы,,,16-24,,11.9
2018,процент,г_Алматы,,,16-24,,12.0
2012,процент,г_Алматы,,,25-28,,9.9
2013,процент,г_Алматы,,,25-28,,12.9
2014,процент,г_Алматы,,,25-28,,14.0
2015,процент,г_Алматы,,,25-28,,13.6
2016,процент,г_Алматы,,,25-28,,19.9
2017,процент,г_Алматы,,,25-28,,8.9
2018,процент,г_Алматы,,,25-28,,11.1
2012,процент,г_Алматы,,,29-34,,10.5
2013,процент,г_Алматы,,,29-34,,10.9
2014,процент,г_Алматы,,,29-34,,14.5
2015,процент,г_Алматы,,,29-34,,12.1
2016,процент,г_Алматы,,,29-34,,17.8
2017,процент,г_Алматы,,,29-34,,11.3
2018,процент,г_Алматы,,,29-34,,11.1
2012,процент,г_Алматы,,,35-44,,9.0
2013,процент,г_Алматы,,,35-44,,9.8
2014,процент,г_Алматы,,,35-44,,16.1
2015,процент,г_Алматы,,,35-44,,11.1
2016,процент,г_Алматы,,,35-44,,16.5
2017,процент,г_Алматы,,,35-44,,10.3
2018,процент,г_Алматы,,,35-44,,11.9
2012,процент,г_Алматы,,,45-54,,7.8
2013,процент,г_Алматы,,,45-54,,8.0
2014,процент,г_Алматы,,,45-54,,12.1
2015,процент,г_Алматы,,,45-54,,10.5
2016,процент,г_Алматы,,,45-54,,14.2
2017,процент,г_Алматы,,,45-54,,9.8
2018,процент,г_Алматы,,,45-54,,10.3
2012,процент,г_Алматы,,,55-64,,9.1
2013,процент,г_Алматы,,,55-64,,8.0
2014,процент,г_Алматы,,,55-64,,13.3
2015,процент,г_Алматы,,,55-64,,8.4
2016,процент,г_Алматы,,,55-64,,16.6
2017,процент,г_Алматы,,,55-64,,11.0
2018,процент,г_Алматы,,,55-64,,6.5
2012,процент,г_Алматы,,,65 и старше,,28.6
2013,процент,г_Алматы,,,65 и старше,,33.7
2014,процент,г_Алматы,,,65 и старше,,29.7
2015,процент,г_Алматы,,,65 и старше,,9.8
2016,процент,г_Алматы,,,65 и старше,,21.0
2017,процент,г_Алматы,,,65 и старше,,1.3
2018,процент,г_Алматы,,,65 и старше,,5.7
2018,процент,г_Шымкент,,,15,,0.0
2018,процент,г_Шымкент,,,16-24,,4.6
2018,процент,г_Шымкент,,,25-28,,5.1
2018,процент,г_Шымкент,,,29-34,,2.2
2018,процент,г_Шымкент,,,35-44,,5.5
2018,процент,г_Шымкент,,,45-54,,6.1
2018,процент,г_Шымкент,,,55-64,,1.8
2018,процент,г_Шымкент,,,65 и старше,,0.0
